epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1512.12,0.70601,0.83058,0.65711,0.89472,0.80344,0.83038,0.87266,0.66881,0.7818,0.80139,0.83665,0.46584,0.85594,1.07303,0.65651,0.91985,0.000996313,0.000996313,0.000996313
43,1545.86,0.69859,0.79229,0.66119,0.8932,0.77933,0.84032,0.87001,0.69888,0.76243,0.8256,0.83972,0.50031,0.75356,0.92748,0.66993,0.88103,0.000990125,0.000990125,0.000990125
44,1581.63,0.67227,0.7774,0.62465,0.89316,0.73253,0.74087,0.80162,0.62445,0.71146,0.71515,0.76965,0.44293,0.88546,1.04216,0.84228,0.92853,0.000983938,0.000983938,0.000983938
45,1615.84,0.70019,0.82852,0.62835,0.89968,0.7587,0.80433,0.83657,0.66955,0.74871,0.78645,0.81406,0.48767,0.80203,0.92351,0.71182,0.90417,0.00097775,0.00097775,0.00097775
46,1650.18,0.70035,0.84054,0.61693,0.90406,0.80238,0.81122,0.87608,0.69036,0.77874,0.78615,0.83584,0.51227,0.83442,0.93773,0.68675,0.9195,0.000971562,0.000971562,0.000971562
47,1687.38,0.69387,0.8187,0.61089,0.8946,0.82727,0.81608,0.86992,0.69452,0.80668,0.79908,0.84312,0.51228,0.82726,0.91956,0.65004,0.9156,0.000965375,0.000965375,0.000965375
48,1721.67,0.66231,0.81393,0.5911,0.89298,0.82684,0.78618,0.86123,0.68187,0.78719,0.77624,0.82098,0.47531,0.8101,1.05319,0.68357,0.90103,0.000959187,0.000959187,0.000959187
49,1757.57,0.68479,0.80922,0.60637,0.89191,0.78419,0.82438,0.86766,0.68534,0.82072,0.76591,0.84456,0.49551,0.79345,0.95675,0.65724,0.90358,0.000953,0.000953,0.000953
50,1791.71,0.68002,0.79961,0.60421,0.8887,0.82394,0.80934,0.86757,0.68148,0.79759,0.78345,0.83643,0.49421,0.82206,0.92681,0.70258,0.92669,0.000946812,0.000946812,0.000946812
51,1826.92,0.66607,0.78077,0.58991,0.88664,0.86566,0.82654,0.88967,0.7051,0.84146,0.80385,0.86311,0.52164,0.81605,0.89272,0.61409,0.91164,0.000940625,0.000940625,0.000940625
52,1861.66,0.66044,0.77694,0.58935,0.88613,0.84234,0.81782,0.87639,0.69112,0.82482,0.79752,0.84897,0.50249,0.80109,0.90709,0.64332,0.90695,0.000934438,0.000934438,0.000934438
53,1895.72,0.68704,0.8296,0.58881,0.8938,0.82357,0.8064,0.86774,0.69676,0.80285,0.77495,0.82961,0.49692,0.79709,0.95932,0.69159,0.89921,0.00092825,0.00092825,0.00092825
54,1933.17,0.66126,0.77526,0.57019,0.88268,0.85451,0.73896,0.85445,0.68352,0.81964,0.73998,0.83628,0.50803,0.78478,0.88369,0.71944,0.89758,0.000922063,0.000922063,0.000922063
55,1967.27,0.67664,0.79919,0.58649,0.89259,0.82854,0.83266,0.88592,0.69608,0.80384,0.81073,0.85584,0.49633,0.83322,0.9644,0.67502,0.92052,0.000915875,0.000915875,0.000915875
56,2003.14,0.67627,0.76594,0.57364,0.89098,0.83573,0.83431,0.88907,0.70839,0.80998,0.80758,0.85524,0.52211,0.80094,0.9938,0.62345,0.91017,0.000909688,0.000909688,0.000909688
57,2037.07,0.66205,0.7971,0.58471,0.88945,0.84008,0.85263,0.90248,0.71366,0.82122,0.83072,0.87103,0.51811,0.80836,0.94546,0.57864,0.9072,0.0009035,0.0009035,0.0009035
58,2072.29,0.66403,0.77652,0.55561,0.88741,0.86058,0.80924,0.87494,0.69801,0.83843,0.77956,0.83684,0.50469,0.8097,1.00317,0.62838,0.90415,0.000897313,0.000897313,0.000897313
59,2106.74,0.65544,0.77121,0.55553,0.89039,0.87761,0.82084,0.88614,0.71045,0.86112,0.80343,0.85878,0.5204,0.7766,0.89619,0.59978,0.88973,0.000891125,0.000891125,0.000891125
60,2140.75,0.67712,0.7921,0.56469,0.88811,0.84972,0.83897,0.89981,0.71609,0.83114,0.81605,0.86748,0.52426,0.79636,0.94945,0.61279,0.89875,0.000884938,0.000884938,0.000884938
